Country,Jan,Feb,Mar,Apr,May,Jun,Jul
Australia,0,1,209,1890,3080,3077,2502
Brazil,0,0,1216,72743,532555,1384087,1601124
China,1131,49030,98932,119611,143764,139168,102150
India,0,0,284,15582,98539,344082,523747
Italy,0,136,129737,659252,978824,1030154,769196
Mexico,0,0,173,21325,173680,581025,779082
Russia,0,0,78,11268,85993,219940,249325
South Africa,0,0,17,1474,10368,50222,93064
South Korea,0,100,2754,6618,8126,8347,6378
Sweden,0,0,1184,41754,112370,148972,121842
US,0,2,33005,1094292,2768687,3540506,2987906
